Country name,Agricultural land under irrigation (percent of total ag. land),Cereal yield (kg per hectare),Foreign direct investment net inflows (percent of GDP),Energy use per units of GDP (kg oil eq./$1000 of 2005 PPP $),Energy use per capita (kilograms of oil equivalent),CO2 emissions total (KtCO2),CO2 emissions per capita (metric tons),CO2 emissions per units of GDP (kg/$1000 of 2005 PPP $),GHG net emissions/removals by LUCF (MtCO2e),Population in urban agglomerations >1million (percent),Nationally terrestrial protected areas (percent of total land area),Invest. in energy w/ private participation ($),Invest. in telecoms w/ private participation ($),Invest. in transport w/ private participation ($),Invest. in water/sanit. w/ private participation ($),Public sector mgmt & institutions avg. (1-6 scale; 6=best),Paved roads (percent of total roads),GDP ($),GNI per capita (Atlas $),Ratio of girls to boys in primary & secondary school (percent),Primary completion rate total (percent of relevant age group),Under-five mortality rate (per 1000),Access to improved water source (percent of total pop.),Nurses and midwives (per 1000 people),Physicians (per 1000 people),Malaria incidence rate (per 100000 people),Access to improved sanitation (percent of total pop.),Child malnutrition underweight (percent of under age 5),Population living below $1.25 a day (percent of total),Population growth (annual percent),Population,Urban population growth (annual percent),Urban population
Low income,?,1969.9612817151,3.1666314596,308.0759512708,363.5198099928,219121.585,0.2868047778,270.2147177555,?,10.806391075,10.5857344099,?,5.24175E9,?,?,?,14.1199998856,3.63879925992954E11,441.6912078884,90.474,61.92965066,112.5399566166,63.1124608231,?,?,16658.534496717,35.4703925669,?,?,2.0665450868,7.64009535318807E8,3.6392627559,2.09721993135241E8
Liechtenstein,?,?,?,?,?,?,?,?,-0.0061200164,?,42.4411931929,?,?,?,?,?,?,4.92941491473469E9,119330,102.832,97.03872,2.1,?,?,?,?,?,?,?,0.7204743895,35521,0.3023553135,5086.6072
Sri Lanka,?,3595.3,1.8474650298,105.6204565654,438.3099101442,11763.736,0.5745751436,138.456575111,?,?,20.7692151319,?,3.004E8,?,?,3.3,?,4.07152496999908E10,1750,?,98.37907,17.6,90,?,?,21,91,?,?,0.9892078095,2.0473799E7,0.9892078095,3091543.649
Lower middle income,?,2749.7902744559,3.6620983949,223.4853813437,670.1152648313,3743902.66448845,1.5655002128,523.8613855792,?,13.8288265939,9.5257602665,1.954998E10,2.926805E10,9.85295E9,?,?,29.2600002289,3.49855354137837E12,1396.5614555846,92.349,87.92339331,73.1227676041,84.3233695316,?,?,4873.8268426844,45.4389937967,?,?,1.5265905631,2.39150568871652E9,2.7076189772,9.25397049582697E8
Low & middle income,?,3086.3598528581,3.6835751782,228.363835522,1165.1407993175,1.68224332185276E7,3.0178994476,612.4593260666,?,16.9742858217,12.1767499639,5.395213E10,7.71523E10,2.524334E10,?,?,29.2800001144,1.71773320767482E13,2781.0496206216,95.651,86.8648006,66.5060729575,84.3632722587,?,?,4665.0964508707,53.5944653883,?,?,1.2355099825,5.57421925759544E9,2.3591318716,2.49156406631687E9
Lesotho,?,390,6.8725498159,?,?,?,?,?,?,?,0.4854777756,?,9300000,?,?,3.4,?,1.60061492277151E9,1040,105.054,69.4536,99.1,85,?,?,?,29,?,?,1.0055026915,2127412,3.874225308,541639.0952
Lithuania,?,3348.2,4.3802474402,155.1457951006,2733.0940125636,15130.042,4.5055163388,255.7584596452,-3.9582438201,?,4.458784485,1.626E8,1.03E8,?,?,?,28.6,4.72529264286698E10,11910,99.547,92.16383,7.5,?,7.32,3.664,?,?,?,0.16,-0.5198614029,3358115,-0.3404891574,2248593.804
Luxembourg,?,6106.4,171.6639576115,115.9724792306,8564.4469456666,10502.288,21.4924547222,291.0325996176,-0.2723388712,?,19.7944721965,?,?,?,?,?,?,5.80715567436921E10,82210,102.355,83.6727935089,3.4,100,?,?,?,100,?,?,1.7874966323,488650,1.6420420612,402843.06
Latvia,?,3104.3,4.031557739,126.3314641239,1978.5935623147,7590.69,3.3496801104,213.8741380484,-22.7433987864,?,17.807870381,4.8E7,1.25E8,?,?,?,100,3.36693677204659E10,12020,100.03,95.0592,10.6,99,?,?,?,78,?,?,-0.4405807496,2266094,-0.3818435966,1543663.2328
Macao,?,?,14.2091289804,?,?,1334.788,2.5745096564,46.0262121241,?,?,?,?,?,?,?,?,100,2.15646401358585E10,39160,95.178,101.28383,?,?,?,?,?,?,?,?,2.4907260391,518463,2.4907260391,518463
St. Martin (French part),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.6163423904,29376,?,?
Morocco,4.4294719989,1002.4,2.7747592368,118.4424370749,478.0129133856,47905.688,1.529484855,378.9770289088,?,19.0683235545,1.5454482483,?,8.43E8,2.0E8,?,?,67.77,8.88829677419355E10,2540,?,81.32207,38.6,81,?,?,?,69,?,?,0.9954864817,3.1321453E7,1.6042618622,1.75462779706E7
Monaco,?,?,?,?,?,?,?,?,-1.5591709702381E-5,?,23.6414068486,?,?,?,?,?,100,6.58108016311355E9,185730,?,?,4.3,100,?,?,?,100,?,?,0.1160963447,35336,0.1160963447,35336
Moldova,9.1898428053,3202.6,11.7719706978,318.684345397,882.2052112164,4774.434,1.337336388,483.0941440304,?,?,1.3752244033,1.3E7,1.01E8,6.0E7,?,3.5,85.8,6.05480610084681E9,1500,101.387,91.37655,20.2,90,?,?,?,79,?,1.86,-0.1902054453,3570107,-0.8584656887,1490876.6832
